,0.01,0.02,0.05,0.1,0.2,0.5
0.1,199.1935155,198.670296733333,197.001885033333,196.643785166667,197.2646763,199.088623833333,
0.2,198.381755033333,197.690995866667,197.027986733333,196.776953266667,196.9646163,199.3167761,
0.3,198.314816933333,197.8647481,196.9890633,196.917479133333,197.136957766667,198.8580089,
0.4,198.418248166667,197.9674941,197.014218933333,196.805146133333,197.2416081,198.886760566667,
0.5,200.1285339,198.315411433333,197.425148366667,196.860073833333,196.877151433333,199.0312301,
0.6,200.4413501,198.902317633333,197.388372666667,197.024624766667,197.589075233333,199.054446466667,
0.7,199.960179033333,198.253369233333,197.679110233333,197.5495705,197.635522266667,199.682080966667,
0.8,200.610285366667,199.5622352,197.597443033333,197.339916433333,197.8633387,199.509207566667,
0.9,201.672806966667,199.127010333333,197.800542866667,197.568384933333,197.363459166667,200.054896666667,
1,202.905025633333,198.993340766667,197.793649,197.2620437,197.484876266667,199.085108066667,
